ITFACIL - Resultado Analitico de Backup

Report Time Frame: Previous 24 Hours
Nome do Job,Nome do Servidor,Status do Backup,Inicio do Backup,Final do Backup,Volume Protegido(GB),Tipo de Backup,Nome do Agendamento
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMWSZBX110,Successful,"Nov 26, 2024 6:24:15 PM","Nov 26, 2024 6:26:26 PM",39,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMWSZBX110,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:26:32 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMWSUS101,Successful,"Nov 26, 2024 6:23:40 PM","Nov 26, 2024 6:25:14 PM",222,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMWSUS101,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:25:20 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMWSINT110,EEHQVMWSINT110,Successful,"Nov 26, 2024 7:00:15 PM","Nov 26, 2024 7:02:12 PM",27.13,Backup,Diario
ITFACIL_VMWARE_EEHQVMWSINT110,EEHQVMWSINT110,Successful,"Nov 26, 2024 7:00:00 PM","Nov 26, 2024 7:02:18 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMWEBHOOK100,Successful,"Nov 26, 2024 6:23:24 PM","Nov 26, 2024 6:24:10 PM",10.45,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMWEBHOOK100,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:24:14 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMVCENTERDC01A,Successful,"Nov 26, 2024 6:21:34 PM","Nov 26, 2024 6:23:12 PM",91.35,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMVCENTERDC01A,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:23:22 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMVAN101,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:21:32 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMVAN101,Successful,"Nov 26, 2024 6:19:47 PM","Nov 26, 2024 6:21:22 PM",36.5,Backup,Diario
